idx,sec,addr,Address,lat,lng
297,內湖區,文德路101巷3弄2號,內湖區文德路101巷3弄2號,25.0791,121.58338
298,松山區,民生東路三段130巷5弄16號,松山區民生東路三段130巷5弄16號,25.05688,121.5469
299,大安區,敦化南路一段295巷16號,大安區敦化南路一段295巷16號,25.03534,121.55011
300,文山區,景華街147巷10號,文山區景華街147巷10號,24.99695,121.54702
301,南港區,研究院路一段151巷10號,南港區研究院路一段151巷10號,25.05024,121.61598
302,大安區,四維路208巷9之1號,大安區四維路208巷9之1號,25.02644,121.54718
303,信義區,吳興街269巷1弄2.4號,信義區吳興街269巷1弄2.4號,25.0237,121.5682
304,中山區,新生北路三段54號,中山區新生北路三段54號,25.06662,121.52762
305,士林區,光華路26巷3號,士林區光華路26巷3號,25.13708,121.54152
306,大安區,基隆路二段132巷3號,大安區基隆路二段132巷3號,25.02889,121.55659
307,大安區,基隆路二段132巷1之1號,大安區基隆路二段132巷1之1號,25.02818,121.5561
308,松山區,民權東路三段103巷15之1號,松山區民權東路三段103巷15之1號,25.06352,121.54517
309,士林區,美崙街63號,士林區美崙街63號,25.0972,121.52321
310,北投區,懷德街11巷18號,北投區懷德街11巷18號,25.11203,121.51869
311,萬華區,大理街181號,萬華區大理街181號,25.03391,121.49442
312,北投區,尊賢街302巷1號,北投區尊賢街302巷1號,25.11803,121.50686
313,內湖區,內湖路一段323巷25號,內湖區內湖路一段323巷25號,25.08418,121.56813
314,內湖區,內湖路一段323巷23號,內湖區內湖路一段323巷23號,25.08411,121.56813
315,內湖區,內湖路一段691巷11號,內湖區內湖路一段691巷11號,25.08032,121.57667
316,中山區,新生北路二段137巷35號,中山區新生北路二段137巷35號,25.06137,121.52887
317,信義區,松隆路73巷4號,信義區松隆路73巷4號,25.04529,121.56935
318,文山區,羅斯福路五段212巷10之3號,文山區羅斯福路五段212巷10之3號,25.00323,121.53728
319,文山區,羅斯福路五段212巷10之4號,文山區羅斯福路五段212巷10之4號,25.00322,121.53752
320,文山區,興德路6巷22號,文山區興德路6巷22號,25.00063,121.55616
321,南港區,成福路180巷6號,南港區成福路180巷6號,25.04116,121.58762
322,松山區,南京東路五段63號,松山區南京東路五段63號,39.78373,-100.445882
323,文山區,興德路6巷20號,文山區興德路6巷20號,25.00064,121.55608
324,中山區,民族東路252巷24號,中山區民族東路252巷24號,25.06725,121.53529
325,北投區,中央北路四段456巷5弄3號,北投區中央北路四段456巷5弄3號,25.12942,121.46951
326,中山區,伊通街87巷9之3號,中山區伊通街87巷9之3號,25.05302,121.53587
327,信義區,中坡南路22巷8號,信義區中坡南路22巷8號,25.04328,121.58236
328,信義區,中坡南路22巷6號,信義區中坡南路22巷6號,25.04331,121.58243
329,信義區,吳興街284巷28弄8號,信義區吳興街284巷28弄8號,25.02364,121.56304
330,文山區,興隆路一段260巷2號,文山區興隆路一段260巷2號,24.99828,121.54506
331,文山區,興隆路一段260巷4號,文山區興隆路一段260巷4號,24.99821,121.54496
332,中山區,建國北路二段6巷17號,中山區建國北路二段6巷17號,25.05267,121.53554
333,南港區,研究院路三段86巷27弄10號,南港區研究院路三段86巷27弄10號,25.03511,121.61353
334,信義區,虎林街120巷16號,信義區虎林街120巷16號,25.04205,121.57625
335,信義區,虎林街120巷18號,信義區虎林街120巷18號,25.04205,121.57619
336,大安區,安居街9巷25號,大安區安居街9巷25號,25.02056,121.55592
337,萬華區,西園路二段344號,萬華區西園路二段344號,25.03188,121.49731
338,松山區,敦化北路153之39號,松山區敦化北路153之39號,25.05404,121.54956
339,大安區,羅斯福路三段269巷76號,大安區羅斯福路三段269巷76號,25.02107,121.53184
340,文山區,景華街147巷8號,文山區景華街147巷8號,24.99692,121.5471
341,南港區,三重路79巷8弄2號,南港區三重路79巷8弄2號,25.06041,121.61336
342,信義區,忠孝東路五段423巷35號,信義區忠孝東路五段423巷35號,34.875418,-88.499538
343,大安區,臥龍街250號,大安區臥龍街250號,25.01837,121.55673
344,大安區,樂業街72巷11及13號,大安區樂業街72巷11及13號,25.02155,121.55036
345,中山區,民權東路二段92巷8弄10號,中山區民權東路二段92巷8弄10號,25.06073,121.53122
346,內湖區,安康路434巷31號,內湖區安康路434巷31號,36.335044,-95.274062
347,南港區,昆陽街186號,南港區昆陽街186號,25.04965,121.59432
348,大安區,忠孝東路三段251巷3弄8號,大安區忠孝東路三段251巷3弄8號,25.04229,121.54205
349,松山區,光復北路26巷10號,松山區光復北路26巷10號,25.04881,121.55722
350,大同區,民族西路187巷2之3號,大同區民族西路187巷2之3號,25.0689,121.51475
351,大安區,臨江街25號,大安區臨江街25號,25.02979,121.55643
352,松山區,民權東路三段103巷33號,松山區民權東路三段103巷33號,25.06396,121.54515
353,中山區,中山北路二段137巷1號,中山區中山北路二段137巷1號,25.06187,121.52354
354,南港區,同德路66巷14號,南港區同德路66巷14號,25.04509,121.58533
355,中山區,錦州街429號,中山區錦州街429號,25.06031,121.52757
356,南港區,昆陽街82號,南港區昆陽街82號,25.04965,121.59432
357,南港區,昆陽街102號,南港區昆陽街102號,25.04965,121.59432
358,文山區,興隆路三段112巷5號,文山區興隆路三段112巷5號,24.99862,121.55723
359,內湖區,環山路一段116號,內湖區環山路一段116號,25.08658,121.56823
360,內湖區,內湖路一段91巷48號,內湖區內湖路一段91巷48號,25.08625,121.56272
361,中山區,新生北路二段101巷9號,中山區新生北路二段101巷9號,25.0575,121.52834
362,士林區,天母北路43巷1號,士林區天母北路43巷1號,25.12078,121.52692
363,大安區,辛亥路三段157巷24弄26號,大安區辛亥路三段157巷24弄26號,25.01723,121.55018
364,松山區,八德路三段12巷52弄9號,松山區八德路三段12巷52弄9號,25.04602,121.55025
365,大同區,重慶北路二段57巷19號,大同區重慶北路二段57巷19號,25.05575,121.51497
366,文山區,富山路1巷13之1號,文山區富山路1巷13之1號,24.98844,121.55311
367,信義區,松山路119巷17弄7號,信義區松山路119巷17弄7號,25.04787,121.57949
368,中正區,汀州路一段122號,中正區汀州路一段122號,25.02731,121.5104
369,文山區,興隆路三段229巷9弄2號,文山區興隆路三段229巷9弄2號,24.9928,121.55946
370,文山區,興隆路一段70巷11弄23之4號,文山區興隆路一段70巷11弄23之4號,25.0022,121.54099
371,松山區,八德路四段171號,松山區八德路四段171號,25.04883,121.56301
