district,rooftopsNearby,closestRooftop,featuresCount,area
中正區B0952,0,2.398126329975787e-05,9,1.9460818410554724e-07
中正區B0964,3,9.036561931237806e-06,12,3.171364266411607e-07
中正區B0978,0,2.486751621418908e-05,9,9.046926095887072e-08
中正區B0980,0,4.723821374201513e-05,28,-4.999999814839201
中正區B0989,1,9.971374715652909e-06,21,1.134044045696496e-07
中正區B0992,0,4.455833833406812e-05,3,1.3683950876294583e-07
中正區B0997,1,4.687388645318789e-06,5,2.2545131590673525e-07
中正區B1008,0,1.8846205368377454e-05,24,-0.9999998872936311
中正區B1013,1,1.1903449373582905e-05,20,1.0439563464837107e-07
中正區B1030,0,1.8654096057093243e-05,10,1.4012087572197167e-07
中正區B1031,3,1.1106861758688174e-05,3,8.529974567873825e-08
中正區B1047,1,8.658581559484152e-06,3,9.644783658305046e-08
中正區B669,0,2.486751621418908e-05,9,9.046926095887072e-08
內湖區B0506,1,5.425025004303685e-06,1,6.819163201617359e-08
內湖區B0507,0,1.299919290360911e-05,67,3.9936776915184327e-07
內湖區B0560,4,2.6928317545205607e-06,7,1.6286105463019024e-07
內湖區B0613,0,2.260516665372211e-05,1,1.263567952863699e-07
內湖區B0698,0,3.076443809649435e-05,1,1.5463160638642745e-07
內湖區B0727,1,1.9469147100413904e-06,10,9.972395386109424e-08
內湖區B0728,3,4.217075859289258e-06,11,2.716103576878069e-07
內湖區B0762,1,1.1366289108926777e-05,4,2.536830399292901e-07
內湖區B0765,0,1.4738257308222562e-05,2,3.414770883452888e-07
內湖區B0789,0,1.548401888083201e-05,21,5.659326779521229e-07
內湖區B0793,2,4.321100721314973e-06,19,9.795214935769117e-08
內湖區B0814,5,3.2857585866678805e-07,30,3.643557258840624e-07
內湖區B0823,3,1.6477655023355226e-06,9,2.333995303743806e-07
內湖區B0853,1,2.9496281913558533e-06,22,1.713992002366572e-07
內湖區B0893,1,1.0186503003439382e-05,7,9.097917199719885e-08
內湖區B0906,1,5.66683273503808e-06,3,2.8880539880323614e-07
內湖區B0911,0,5.09930027759683e-05,11,1.8040035107325276e-07
內湖區B0931,1,7.836102683099464e-06,1,9.825000171543297e-08
內湖區B0963,0,1.5399508161026556e-05,17,2.71038342997742e-07
內湖區B0970,1,1.1715843708319391e-05,1,1.2477634421023398e-07
內湖區B0993,1,3.03715691244736e-06,1,1.06988012746628e-07
內湖區B1006,1,1.187998150619772e-05,1,3.416404071626489e-08
內湖區B1051,1,1.187998150619772e-05,1,3.416404071626489e-08
內湖區B1711,0,2.7859175195937885e-05,12,1.1230473345911945e-07
士林區B0482,0,1.9215711782556572e-05,23,1.4295017359040178e-07
士林區B0483,0,2.2190108658526525e-05,6,1.0476075228823588e-07
士林區B0496,1,7.371671077376274e-06,15,1.4585647068975335e-07
士林區B0499,1,8.14559925117228e-06,12,2.1950183435036436e-07
士林區B0529,0,1.9239323607630808e-05,1,8.13163932326682e-08
士林區B0530,0,6.159369615229948e-05,18,2.518850814683428e-07
士林區B0583,2,1.5327253513638234e-06,5,1.4800996305605157e-07
士林區B0588,2,4.514665567634745e-06,24,2.870236283865252e-07
士林區B0589,2,1.0936713559855927e-06,12,1.8644114845555044e-07
士林區B0615,0,4.072461398901906e-05,8,1.639563288038426e-07
士林區B0616,0,1.77534004364994e-05,14,1.8034432040945317e-07
士林區B0619,2,3.016025834630512e-06,5,4.119065108755237e-07
士林區B0626,0,1.8879786824863025e-05,3,2.415347826458512e-07
士林區B0631,2,1.8415372660377575e-06,6,1.4437780020178065e-07
士林區B0640,0,2.2273520205034714e-05,12,1.8048883626154414e-07
士林區B0642,0,3.7869343452744665e-05,4,1.3355080052217407e-07
士林區B0648,1,6.927414542042874e-06,4,6.583112898459546e-08
士林區B0655,1,6.751184562981316e-07,2,1.515143167917622e-07
士林區B0661,0,2.3037493133315442e-05,13,4.063444396229597e-07
士林區B0665,1,1.1388246161872834e-05,6,1.8863994721253427e-07
士林區B0693,0,1.8197159667098847e-05,15,2.939131091009725e-07
士林區B0706,1,1.0135482537314366e-07,15,1.1742628264361028e-07
士林區B0724,0,1.945854210087219e-05,18,2.2951340531364628e-07
士林區B0729,1,1.7008023426072253e-06,1,1.3899291660006545e-07
士林區B0737,0,1.7727567757114345e-05,9,8.249246343084398e-08
士林區B0748,0,2.273305850145827e-05,19,-1.999999761566365
士林區B0749,1,8.415516152025502e-06,11,9.031641773019362e-08
士林區B0759,0,2.510145561352554e-05,22,2.8603100546001345e-07
士林區B0761,0,3.884452704265027e-05,4,5.005512463525955e-08
士林區B0764,0,3.9544673992320166e-05,20,1.683521708955919e-07
士林區B0777,0,3.01629687629788e-05,17,1.4348998660480717e-07
士林區B0799,0,2.3326431209029865e-05,25,-0.9999997731161393
士林區B0800,1,7.068099022061134e-06,32,2.9814983086055294e-07
士林區B0803,2,4.975406866836924e-07,3,5.555948946660623e-08
士林區B0807,0,1.4560629730463267e-05,21,1.8776255990752224e-07
士林區B0810,0,2.294979768188858e-05,13,1.9301318973944002e-07
士林區B0821,0,2.65001387249794e-05,14,4.335659794998058e-07
士林區B0830,2,3.0439595112779566e-06,9,4.6864375528560904e-07
士林區B0855,6,2.9014997251808507e-06,14,2.4014026805173095e-07
士林區B0884,2,6.252594811359716e-06,8,4.0035477265374676e-07
士林區B0887,2,1.1761347322736467e-06,9,1.1526092268375416e-07
