idx,sec,addr
194,信義區,吳興街284巷24弄84號
195,中正區,汀州路三段184號
196,中山區,吉林路343巷15號
197,士林區,大南路376號
198,松山區,八德路四段204巷7弄25號
199,文山區,指南路二段45巷10弄3號
200,文山區,辛亥路七段5巷4弄16號
201,信義區,松山路308號
202,萬華區,西昌街29巷13號
203,文山區,木柵路二段86巷8號
204,文山區,興隆路三段259號
205,信義區,虎林街120巷165號
206,中山區,吉林路329巷20號
207,大安區,樂業街150號
208,松山區,八德路四段106巷8弄8號
209,信義區,虎林街120巷16號
210,信義區,虎林街120巷18號
211,中山區,遼寧街62巷7號
212,信義區,信義路五段150巷421弄13號
213,大安區,富陽街157巷13號
214,中正區,羅斯福路四段40巷6弄6號
215,文山區,興隆路三段229巷8號
216,文山區,景仁街38號
217,南港區,研究院路二段207號
218,萬華區,環河南路一段23號
219,萬華區,東園街73巷104號
220,中正區,中華路二段443巷33弄8號
221,中正區,金山南路一段67巷15號
222,文山區,和興路7之1號
223,信義區,永吉路278巷47弄16號
224,文山區,景興路23巷6弄3號
225,中正區,汀州路一段273號
226,信義區,吳興街281巷53號
227,文山區,木柵路一段51之1號
228,文山區,試院路144巷2弄4號
229,士林區,承德路四段58巷55號
230,士林區,承德路四段80巷53之1號
231,士林區,芝玉路一段210號
232,北投區,文林北路98號
233,中山區,合江街130巷13號
234,士林區,光華路26巷16號
235,北投區,西安街二段187號
236,文山區,溪洲街23巷26號
237,文山區,秀明路一段103巷2弄9號
238,士林區,後港街50巷6號
239,士林區,延平北路五段225號
240,北投區,石牌路一段166巷62弄6之1號
241,北投區,西安街二段189號
242,北投區,大同街202之1號
243,文山區,興隆路四段165巷37之1號
244,南港區,昆陽街150之3號
245,文山區,木柵路一段310號
246,士林區,前港街110巷19號
247,松山區,東興街33號
248,內湖區,文德路220巷5弄9號
249,中正區,和平西路一段122號
250,大安區,師大路80巷31號
251,大安區,延吉街130號
252,松山區,民生東路五段36巷6弄9號
253,中山區,長春路346號
254,松山區,敦化北路155巷101之3號
255,文山區,興隆路一段161號
256,松山區,敦化南路一段25號
257,大安區,臨江街118巷1弄8號
258,松山區,南京東路四段133巷5弄18.20號
259,中山區,新生北路三段84巷38號
260,中正區,羅斯福路三段128巷19號
261,士林區,大東路99號
262,文山區,興隆路三段39號
263,萬華區,西園路一段282巷25號
264,內湖區,文德路101巷3弄1號
265,大安區,和平東路三段119巷5號
266,松山區,松河街24號
267,文山區,興隆路三段165號
268,文山區,羅斯福路五段176巷4號
269,文山區,興德路21巷10號
270,大安區,安和路二段80號
271,文山區,興隆路四段58巷16弄2號
272,大安區,大安路一段84巷2號
273,北投區,石牌路一段71巷9弄7號
274,南港區,重陽路10號
275,大安區,辛亥路一段34巷8號
276,信義區,信義路五段150巷342弄46號
277,北投區,致遠二路21號
278,中山區,新生北路一段106號
279,大安區,市民大道四段18號
280,中山區,建國北路二段260號
281,文山區,萬寧街24號
282,士林區,文昌路249之1號
283,士林區,小北街22巷12號
284,士林區,小北街22巷14號
285,士林區,文林路287號
286,士林區,中山北路七段141巷8之2號
287,北投區,吉利街369巷28號
288,中山區,民族東路410巷2弄16號
289,萬華區,梧州街60巷5號
290,大安區,東豐街36號
291,南港區,興華路76巷3號
292,信義區,和平東路三段509巷17號
293,內湖區,成功路二段12號
294,大安區,和平東路一段183巷11弄3之4號
295,士林區,大南路87號
296,大安區,通化街90號
297,內湖區,文德路101巷3弄2號
298,松山區,民生東路三段130巷5弄16號
299,大安區,敦化南路一段295巷16號
300,文山區,景華街147巷10號
301,南港區,研究院路一段151巷10號
302,大安區,四維路208巷9之1號
303,信義區,吳興街269巷1弄2.4號
304,中山區,新生北路三段54號
305,士林區,光華路26巷3號
306,大安區,基隆路二段132巷3號
307,大安區,基隆路二段132巷1之1號
308,松山區,民權東路三段103巷15之1號
309,士林區,美崙街63號
310,北投區,懷德街11巷18號
311,萬華區,大理街181號
312,北投區,尊賢街302巷1號
313,內湖區,內湖路一段323巷25號
314,內湖區,內湖路一段323巷23號
315,內湖區,內湖路一段691巷11號
316,中山區,新生北路二段137巷35號
317,信義區,松隆路73巷4號
318,文山區,羅斯福路五段212巷10之3號
319,文山區,羅斯福路五段212巷10之4號
320,文山區,興德路6巷22號
321,南港區,成福路180巷6號
322,松山區,南京東路五段63號
323,文山區,興德路6巷20號
324,中山區,民族東路252巷24號
325,北投區,中央北路四段456巷5弄3號
326,中山區,伊通街87巷9之3號
327,信義區,中坡南路22巷8號
328,信義區,中坡南路22巷6號
329,信義區,吳興街284巷28弄8號
330,文山區,興隆路一段260巷2號
331,文山區,興隆路一段260巷4號
332,中山區,建國北路二段6巷17號
333,南港區,研究院路三段86巷27弄10號
334,信義區,虎林街120巷16號
335,信義區,虎林街120巷18號
336,大安區,安居街9巷25號
337,萬華區,西園路二段344號
338,松山區,敦化北路153之39號
339,大安區,羅斯福路三段269巷76號
340,文山區,景華街147巷8號
341,南港區,三重路79巷8弄2號
342,信義區,忠孝東路五段423巷35號
343,大安區,臥龍街250號
344,大安區,樂業街72巷11及13號
345,中山區,民權東路二段92巷8弄10號
346,內湖區,安康路434巷31號
347,南港區,昆陽街186號
348,大安區,忠孝東路三段251巷3弄8號
349,松山區,光復北路26巷10號
350,大同區,民族西路187巷2之3號
351,大安區,臨江街25號
352,松山區,民權東路三段103巷33號
353,中山區,中山北路二段137巷1號
354,南港區,同德路66巷14號
355,中山區,錦州街429號
356,南港區,昆陽街82號
357,南港區,昆陽街102號
358,文山區,興隆路三段112巷5號
359,內湖區,環山路一段116號
360,內湖區,內湖路一段91巷48號
361,中山區,新生北路二段101巷9號
362,士林區,天母北路43巷1號
363,大安區,辛亥路三段157巷24弄26號
364,松山區,八德路三段12巷52弄9號
365,大同區,重慶北路二段57巷19號
366,文山區,富山路1巷13之1號
367,信義區,松山路119巷17弄7號
368,中正區,汀州路一段122號
369,文山區,興隆路三段229巷9弄2號
370,文山區,興隆路一段70巷11弄23之4號
371,松山區,八德路四段171號
372,中山區,錦州街175巷30號
373,北投區,中央北路四段529號
374,大同區,延平北路三段46號
375,文山區,和興路8號
376,內湖區,內湖路三段326巷5弄9號
377,中正區,仁愛路一段55號
378,萬華區,柳州街38號
379,萬華區,和平西路三段392號
380,松山區,興安街137號
381,中山區,市民大道三段7號
382,萬華區,昆明街216號
383,內湖區,環山路一段136巷17號
384,中山區,天津街43號
385,萬華區,西園路二段140巷19號
386,士林區,福港街277巷5號
387,內湖區,新明路380巷4弄12號
388,信義區,松山路541巷17號
389,南港區,忠孝東路六段81巷18號
390,內湖區,安康路402號
391,中山區,五常街53巷19號
392,內湖區,康寧路一段214巷4號
393,內湖區,麗山街348巷10弄2號
394,內湖區,康樂街20巷8號
395,南港區,忠孝東路六段269巷1弄1號
396,中山區,新生北路三段87巷23號
397,中山區,新生北路三段87巷25號
398,中正區,汀州路一段220號
399,大安區,通化街140巷17號
400,文山區,景興路41號
401,大安區,臨江街40巷4號
402,萬華區,開封街二段47號
403,內湖區,民權東路六段296巷53號
404,內湖區,內湖路三段67號
405,松山區,新中街4巷4號
406,內湖區,陽光街92巷7弄7號
407,大安區,和平東路二段311巷34弄6號
408,中正區,羅斯福路一段90巷2號
409,內湖區,內湖路一段323巷4弄29號
410,北投區,明德路18巷1弄7號
411,北投區,大業路280巷25之1號
412,信義區,吳興街284巷36弄8號
413,文山區,保儀路109巷21弄2號
414,中山區,合江街17巷6之3號
415,士林區,承德路四段80巷56及54號
416,萬華區,西藏路330巷10號
417,中正區,羅斯福路四段136巷6弄11號
418,北投區,致遠二路5巷6號
419,信義區,基隆路二段39巷9號
420,松山區,南京東路五段251巷24弄16號
421,大安區,四維路52巷12之3號
422,信義區,和平東路三段391巷8弄49號
423,信義區,和平東路三段391巷8弄51號
424,松山區,南京東路五段389巷6弄15號
425,大安區,辛亥路三段157巷24弄3號
426,大安區,延吉街137巷7弄4號
427,文山區,萬慶街32巷28號
428,文山區,萬慶街32巷30號
429,中正區,羅斯福路三段128巷21號
430,中山區,吉林路239號
431,南港區,南港路二段118巷8弄8號
432,內湖區,內湖路一段673號
433,中山區,伊通街19巷34號
434,松山區,新東街65巷6號
