district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018,ndvi 2013,greeniness 2013,dmap 2013,ndvi 2014,greeniness 2014,dmap 2014,ndvi 2015,greeniness 2015,dmap 2015,ndvi 2017,greeniness 2017,dmap 2017,ndvi 2016,greeniness 2016,dmap 2016,date,year,e-year
中山區B0260b,2,212.9513535510321,8,1878.5062463057543,0,0,0,6878151,6738879,0.2425939291715622,0.2024955104135084,0.20556475222110748,0.24926650524139404,0.19263241364834294,0.20776407420635226,0.4288826286792755,0.127364321197845,0.3098630905151367,0.1844555288553238,0.194866711756886,0.12869137525558472,0.30666908621788025,0.1611155164773655,0.21927723288536072,100.6.8,100,2011
中山區B0508,1,214.0000657361204,1,797.4896952589849,0,0,0,611223,599573,0.1978543251752853,0.17566061058376287,0.115936279296875,0.20011427998542786,0.17261002402220305,0.11702544242143632,0.2315017431974411,0.25460503300137605,0.2335377931594849,0.1933274269104004,0.09563402290272174,0.13223639130592346,0.21241459250450132,0.17511952795204888,0.18288709223270416,100.6.23,100,2011
中山區B0512,3,64.90464826889406,14,1450.320927754907,0,0,0,6058755,5949495,0.2884483635425568,0.12536324836159246,0.2705366611480713,0.2905380427837372,0.12276045432283042,0.2867085039615631,0.4540219604969025,0.2279193973458964,0.4068358242511749,0.14406558871269226,0.18331273176761434,0.1393544375896454,0.29904377460479736,0.20561606455675532,0.27309513092041016,100.6.8,100,2011
中山區B0513,2,180.26934122114918,7,1905.030401720381,0,0,0,2974490,2904490,0.2577325701713562,0.1279660424003545,0.1327168345451355,0.2609277665615082,0.12657368752478018,0.13575343787670135,0.2929356098175049,0.24280150197075356,0.18958649039268494,0.2403339743614197,0.20644401427338666,0.1372227519750595,0.2666347920894623,0.2246227581220701,0.16340461373329165,100.6.8,100,2011
中山區B0569,0,329.18140604154564,3,2540.349717170672,0,0,0,957000,941000,0.276106059551239,0.4843319262075238,0.26643189787864685,0.2853347957134247,0.4703337453646477,0.2732933759689331,0.2331739664077759,0.3816918161251953,0.24610397219657895,0.16688434779644012,0.2170207803717611,0.2012244313955307,0.2000291645526886,0.2993562982484782,0.22366419434547424,101.2.23,101,2012
中山區B0630,5,71.97533219076273,26,2445.147683099448,0,0,0,8134985,7996424,0.11772745102643968,0.18099913706649254,0.09096018970012663,0.12013200670480728,0.1790050609884087,0.08692305535078049,0.1767357736825943,0.33291974718380485,0.15872612595558167,0.1205354854464531,0.1852881498239149,0.06589080393314363,0.1486356258392334,0.2591039485038599,0.11230846494436264,101.9.5,101,2012
中山區B0643,5,57.4789748919765,17,2717.3353613510003,0,0,0,9131226,8996310,0.2323296815156937,0.19878023182592067,0.1817734390497208,0.23519836366176605,0.19723394827063465,0.18314947187900546,0.3914289772510529,0.2564731674324229,0.2845698297023773,0.2538890242576599,0.1694055087809315,0.2016768902540207,0.3226590156555176,0.2129393381066772,0.2431233525276184,101.10.25,101,2012
中山區B0644,2,177.4512747914909,18,3100.801396009157,0,0,0,7164123,7045090,0.17272897064685822,0.17634396063157404,0.14419151842594147,0.17801618576049805,0.17532943069711035,0.1468362957239151,0.2834480106830597,0.2452550318352497,0.21792103350162506,0.1810644418001175,0.12533526132891762,0.1558970957994461,0.2322562336921692,0.18529514658208365,0.1869090646505356,101.10.25,101,2012
中山區B0675,4,195.592049371782,15,2232.644856243245,0,0,0,10821586,10934353,0.21825920045375824,0.2792476152715908,0.19645030796527865,0.22175292670726776,0.27647223453133385,0.1977703720331192,0.4411316215991974,0.16554563052452365,0.35248035192489624,0.19262774288654327,0.2373580241154932,0.16972503066062927,0.3168796896934509,0.2014518273200084,0.2611026763916016,102.1.11,102,2013
中山區B0676,1,152.75302858628814,19,2863.2148995775915,0,0,0,6376487,6269761,0.15407794713974,0.5173356344893533,0.08198801428079605,0.16015812754631042,0.5009212398255475,0.08942089974880219,0.17599178850650787,0.4217039438393544,0.15853720903396604,0.1341138631105423,0.25742472654336823,0.090691976249218,0.15505282580852509,0.3395643351913613,0.12461459636688232,102.1.17,102,2013
中山區B0679,6,85.24101984848126,27,2974.410903610262,0,0,0,11204321,10975610,0.12196282297372818,0.1923735335961005,0.07302983105182648,0.1252163201570511,0.18969610747020546,0.06818107515573503,0.2044149488210678,0.4270891153765422,0.1547636240720749,0.1391725093126297,0.30361265946777993,0.08375819027423859,0.17179372906684875,0.36535088742216093,0.11926090717315675,102.1.23,102,2013
中山區B0685,3,209.13771094952702,10,1243.4644961876986,0,0,0,6442901,6320342,0.41323086619377136,0.2249247848496863,0.41616716980934143,0.4151829779148102,0.2210812323623388,0.4123656153678894,0.5039485096931458,0.3155094806073186,0.5242903828620911,0.4109662473201752,0.20037082818294188,0.4202136397361755,0.4574573636054993,0.25794015439513024,0.4722520112991333,102.2.4,102,2013
中山區B0696,1,210.78672185927584,34,1756.021044608202,0,0,0,7908491,7804175,0.2395433485507965,0.25963103761923645,0.16501154005527496,0.24490752816200256,0.2533549455418989,0.16772162914276126,0.3209552764892578,0.2743615458171047,0.2725960314273834,0.18818247318267825,0.293024232105791,0.1615224927663803,0.254568874835968,0.28369288896144784,0.21705925464630127,102.3.22,102,2013
