idx,sec,addr,Address,Lat,Lng
78,信義區,忠孝東路五段790巷24弄1號,信義區忠孝東路五段790巷24弄1號,25.0422658,121.5826507
79,中山區,新生北路三段11巷51號,中山區新生北路三段11巷51號,25.0636603,121.5295244
80,中山區,渭水路18號,中山區渭水路18號,25.0455067,121.5341839
81,中山區,民權東路二段135巷30弄7號,中山區民權東路二段135巷30弄7號,25.0642976,121.534665
82,大安區,復興南路二段279號,大安區復興南路二段279號,25.025515,121.5436754
83,南港區,玉成街130號,南港區玉成街130號,25.0450167,121.5829295
84,信義區,永吉路120巷80弄2號,信義區永吉路120巷80弄2號,25.0427463,121.5699274
85,北投區,中央南路二段14之1號,北投區中央南路二段14之1號,25.12703,121.500139
86,松山區,南京東路五段250巷36弄58號,松山區南京東路五段250巷36弄58號,25.0497543,121.5683395
87,松山區,民族東路755號,松山區民族東路755號,25.0624224,121.5496518
88,松山區,南京東路四段53巷5弄1號,松山區南京東路四段53巷5弄1號,25.052519,121.5510119
89,士林區,華齡街1巷10號,士林區華齡街1巷10號,25.0824538,121.5189458
90,萬華區,內江街55巷17號,萬華區內江街55巷17號,25.042554,121.5053892
91,松山區,八德路二段437巷2弄12號,松山區八德路二段437巷2弄12號,25.0488095,121.5464197
92,大安區,光復南路308巷35號,大安區光復南路308巷35號,25.03866,121.5561
93,中山區,吉林路456巷29號,中山區吉林路456巷29號,25.06708,121.5288311
94,信義區,和平東路三段435巷7弄9號,信義區和平東路三段435巷7弄9號,25.019257,121.558988
95,萬華區,三水街25巷3號,萬華區三水街25巷3號,25.034819,121.5045502
96,中山區,雙城街17巷9號,中山區雙城街17巷9號,25.0645546,121.5251521
97,中山區,復興北路514巷39號,中山區復興北路514巷39號,25.0660743,121.5425399
98,文山區,育英街17巷16號,文山區育英街17巷16號,24.9902731,121.5382987
99,信義區,崇德街63巷25弄3號,信義區崇德街63巷25弄3號,25.0251116,121.5550315
100,內湖區,環山路一段60巷22號,內湖區環山路一段60巷22號,25.0871699,121.565956
101,南港區,研究院路二段35號,南港區研究院路二段35號,25.0455884,121.6153075
102,內湖區,康寧路一段142號,內湖區康寧路一段142號,25.079087,121.593797
